ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:51:22Z,0.044048,29.992600705435564,5506,0.034312747
2025-11-01T23:51:22Z,0.0304,30.076578107103526,3800,0.031852059
2025-11-01T23:51:22Z,0.02452,30.016618524277625,3065,0.034377524
2025-11-01T23:51:22Z,0.05624,29.900816102575536,7030,0.035637323
2025-11-01T23:51:22Z,0.043168,29.912243256072617,5396,0.033201153
2025-11-01T23:51:22Z,0.038752,30.024154176829953,4844,0.030938928
2025-11-01T23:51:22Z,0.03672,30.02978070512402,4590,0.033175467
2025-11-01T23:51:22Z,0.30516,29.111974958683692,38145,0.05639696
2025-11-01T23:51:22Z,0.001208,30.10778737108752,151,0.008219196
2025-11-01T23:51:22Z,0.037104,30.007669059981662,4638,0.035873582
2025-11-01T23:51:23Z,0.069664,29.915840888043455,8708,0.035882119
2025-11-01T23:51:23Z,0.02344,30.0809055689094,2930,0.028658018
2025-11-01T23:51:23Z,0.047664,29.992258031784793,5958,0.035896638
2025-11-01T23:51:23Z,0.059712,29.89259915805914,7464,0.036454379
2025-11-01T23:51:23Z,0.037912,29.991700158949808,4739,0.030247482
2025-11-01T23:51:23Z,0.035872,30.013441609865303,4484,0.032617967
2025-11-01T23:51:23Z,0.046904,30.00805095679136,5863,0.03350395
2025-11-01T23:51:23Z,0.048584,28.395147439673444,6073,0.035217285
2025-11-01T23:51:23Z,0.04168,30.028856830548452,5210,0.031385317
2025-11-01T23:51:23Z,0.047392,29.894600308745453,5924,0.033749969
2025-11-01T23:51:23Z,0.0454,29.94916099971138,5675,0.033207097
2025-11-01T23:51:23Z,0.03712,29.86616184410982,4640,0.033853876
2025-11-01T23:51:23Z,0.039808,29.979240575071387,4976,0.032724948
2025-11-01T23:51:23Z,0.025456,30.25392961592697,3182,0.03123641
2025-11-01T23:51:23Z,0.063792,29.80163861702292,7974,0.037066713
2025-11-01T23:51:23Z,0.070392,29.766119955538546,8799,0.033915562
2025-11-01T23:51:23Z,0.064264,29.830340356845205,8033,0.032871985
2025-11-01T23:51:23Z,0.04844,29.968861236154446,6055,0.031818485
2025-11-01T23:51:23Z,0.050216,29.99672233314246,6277,0.03299606
2025-11-01T23:51:23Z,0.037208,30.08678194353909,4651,0.032039725
2025-11-01T23:51:23Z,0.045472,29.998214741958815,5684,0.034611007
2025-11-01T23:51:23Z,0.058264,29.926069261896224,7283,0.034540784
2025-11-01T23:51:23Z,0.0344,30.06054786156355,4300,0.031023872
2025-11-01T23:51:23Z,0.07088,29.892998066174478,8860,0.036435954
2025-11-01T23:51:23Z,0.060248,29.970350831428313,7531,0.031898521
2025-11-01T23:51:23Z,0.07092,29.92643508927563,8865,0.034296618
2025-11-01T23:51:23Z,0.006672,30.186206983540046,834,0.027664071
2025-11-01T23:51:23Z,0.22876,29.22739258260996,28595,0.055949793
2025-11-01T23:51:23Z,0.026568,30.03685449685251,3321,0.013929499
2025-11-01T23:51:23Z,0.043496,29.98559379953824,5437,0.034601451
2025-11-01T23:51:24Z,0.019976,30.02392163462219,2497,0.032327596
2025-11-01T23:51:24Z,0.030632,30.028903432143068,3829,0.033168635
2025-11-01T23:51:24Z,0.058816,29.928208099302896,7352,0.036214397
2025-11-01T23:51:24Z,0.045,29.988315552650167,5625,0.03160504
2025-11-01T23:51:24Z,0.01916,30.08732414940902,2395,0.030273797
2025-11-01T23:51:24Z,0.02484,30.04533302008829,3105,0.034583673
2025-11-01T23:51:24Z,0.048408,29.99173841575252,6051,0.035067322
2025-11-01T23:51:24Z,0.064696,28.780009635547227,8087,0.03474634
2025-11-01T23:51:24Z,0.042232,30.1100563207098,5279,0.031676651
2025-11-01T23:51:24Z,0.032784,30.13755140110079,4098,0.033120597
2025-11-01T23:51:24Z,0.06744,29.64594851649006,8430,0.0353821
2025-11-01T23:51:24Z,0.040896,30.17337530932613,5112,0.030783317
2025-11-01T23:51:24Z,0.04296,30.08560875012653,5370,0.033721894
2025-11-01T23:51:24Z,0.038232,30.181318452874052,4779,0.032500652
2025-11-01T23:51:24Z,0.04816,30.064477669291655,6020,0.03416321
2025-11-01T23:51:24Z,0.026488,30.251010177024675,3311,0.031415965
2025-11-01T23:51:24Z,0.0558,29.84067606486624,6975,0.037602325
2025-11-01T23:51:24Z,0.042848,29.95611138291138,5356,0.032090818
2025-11-01T23:51:24Z,0.035752,30.107527000423943,4469,0.031367558
2025-11-01T23:51:24Z,0.085656,29.794726299524836,10707,0.037747399
2025-11-01T23:51:24Z,0.029496,30.14500042347266,3687,0.028103128
2025-11-01T23:51:24Z,0.055688,30.027562058993453,6961,0.0351191
2025-11-01T23:51:24Z,0.032864,30.12884784436784,4108,0.031511447
2025-11-01T23:51:24Z,0.00748,30.25317544269881,935,0.030871983
2025-11-01T23:51:24Z,0.058536,29.941961748927618,7317,0.039238531
2025-11-01T23:51:24Z,0.01604,30.175782062090846,2005,0.028480981
2025-11-01T23:51:24Z,0.057544,29.89433810324203,7193,0.039379012
2025-11-01T23:51:24Z,0.308936,29.077412901600475,38617,0.053187048
2025-11-01T23:51:24Z,0.003968,30.14208369933815,496,0.007666492
2025-11-01T23:51:24Z,0.019056,30.045353238639375,2382,0.035632841
2025-11-01T23:51:25Z,0.052872,30.002011709890176,6609,0.034436969
2025-11-01T23:51:25Z,0.033368,30.045955938600738,4171,0.032112374
2025-11-01T23:51:25Z,0.017608,30.14011249164045,2201,0.030579057
2025-11-01T23:51:25Z,0.025328,30.11866637423301,3166,0.033816246
2025-11-01T23:51:25Z,0.059088,30.01148036661334,7386,0.036522268
2025-11-01T23:51:25Z,0.072,29.97222246768439,9000,0.034586247
2025-11-01T23:51:25Z,0.016512,30.012692667856165,2064,0.03201454
2025-11-01T23:51:25Z,0.057792,29.98910386541449,7224,0.034131691
2025-11-01T23:51:25Z,0.05236,29.801665150159266,6545,0.033555172
2025-11-01T23:51:25Z,0.028,31.492193667795334,3500,0.02995263
2025-11-01T23:51:25Z,0.046624,30.413033014634824,5828,0.035134119
2025-11-01T23:51:25Z,0.048296,30.264045397823413,6037,0.033528116
2025-11-01T23:51:25Z,0.022808,30.663221314412343,2851,0.030891761
2025-11-01T23:51:25Z,0.03972,30.318681786566327,4965,0.034835988
2025-11-01T23:51:25Z,0.01492,30.58240908305239,1865,0.030991965
2025-11-01T23:51:25Z,0.033216,30.299984695477733,4152,0.035136785
2025-11-01T23:51:25Z,0.019672,30.39876974422472,2459,0.032038077
2025-11-01T23:51:25Z,0.040136,30.182718602557514,5017,0.035250804
2025-11-01T23:51:25Z,0.018752,30.34441121903061,2344,0.031189557
2025-11-01T23:51:25Z,0.047864,30.06967798404399,5983,0.036568139
2025-11-01T23:51:25Z,0.025408,30.204614024775065,3176,0.031324706
2025-11-01T23:51:25Z,0.050984,30.051260517187217,6373,0.035472822
2025-11-01T23:51:25Z,0.06548,29.97807385691261,8185,0.034495062
2025-11-01T23:51:25Z,0.053896,30.054856198670954,6737,0.031994189
2025-11-01T23:51:25Z,0.039128,30.112980412946353,4891,0.032180707
2025-11-01T23:51:25Z,0.013272,30.247478161459398,1659,0.030550334
2025-11-01T23:51:25Z,0.018072,30.198882833018615,2259,0.034071414
2025-11-01T23:51:25Z,0.410024,28.579975698961103,51253,0.070628311
2025-11-01T23:51:25Z,0.007168,29.970998221045708,896,0.000886705
2025-11-01T23:51:25Z,0.027248,30.084505036260328,3406,0.030596094
2025-11-01T23:51:26Z,0.041864,29.913881836004816,5233,0.037600343
2025-11-01T23:51:26Z,0.01264,30.148972896285667,1580,0.027173219
2025-11-01T23:51:26Z,0.067416,30.02035078378819,8427,0.036721398
2025-11-01T23:51:26Z,0.053504,29.98454972267417,6688,0.034344821
2025-11-01T23:51:26Z,0.070216,29.975028103836973,8777,0.033636543
2025-11-01T23:51:26Z,0.028496,30.10790750394465,3562,0.029238462
2025-11-01T23:51:26Z,0.010168,30.162470982012778,1271,0.031471447
2025-11-01T23:51:26Z,0.029856,30.092875159117582,3732,0.035454026
2025-11-01T23:51:26Z,0.050152,29.999926790501235,6269,0.036422139
2025-11-01T23:51:26Z,0.049192,31.135096897870188,6149,0.032118095
2025-11-01T23:51:26Z,0.021072,31.209432127061213,2634,0.031965096
2025-11-01T23:51:26Z,0.020208,30.92830407768349,2526,0.032915338
2025-11-01T23:51:26Z,0.051352,28.482997612191983,6419,0.043436128
2025-11-01T23:51:26Z,0.015264,28.900909008152652,1908,0.032570282
2025-11-01T23:51:26Z,0.075584,28.168993453694934,9448,0.039995217
2025-11-01T23:51:26Z,0.027864,29.118041599723075,3483,0.027400627
2025-11-01T23:51:26Z,0.028168,29.944650009475982,3521,0.026758793
2025-11-01T23:51:26Z,0.021496,29.74117189985608,2687,0.03545123
2025-11-01T23:51:26Z,0.012216,30.032312125003035,1527,0.03036389
2025-11-01T23:51:26Z,0.006624,30.504455170131337,828,0.027628368
2025-11-01T23:51:26Z,0.022136,30.441267712692383,2767,0.033598653
2025-11-01T23:51:26Z,0.051968,29.97112987111206,6496,0.039549031
2025-11-01T23:51:26Z,0.019608,30.340590838059153,2451,0.027677313
2025-11-01T23:51:26Z,0.009416,30.338271116179985,1177,0.032996949
2025-11-01T23:51:26Z,0.028608,30.30417095661665,3576,0.033555116
2025-11-01T23:51:26Z,0.034104,30.261961692326153,4263,0.033781209
2025-11-01T23:51:26Z,0.017272,30.310212598761158,2159,0.032097911
2025-11-01T23:51:26Z,0.450024,28.469871573353334,56253,0.073512925
2025-11-01T23:51:26Z,0.003576,29.724161755565113,447,0.005481118
2025-11-01T23:51:26Z,0.026728,29.71478606438623,3341,0.03386558
2025-11-01T23:51:27Z,0.010376,29.846141660996906,1297,0.030394834
2025-11-01T23:51:27Z,0.0936,29.790087580202282,11700,0.034955192
2025-11-01T23:51:27Z,0.057152,29.90327091770619,7144,0.030518891
2025-11-01T23:51:27Z,0.087568,29.888187799276626,10946,0.033863061
2025-11-01T23:51:27Z,0.028232,29.990865105467424,3529,0.030479797
2025-11-01T23:51:27Z,0.017432,30.01774382190361,2179,0.032537356
2025-11-01T23:51:27Z,0.045672,29.895810442017854,5709,0.037118083
2025-11-01T23:51:27Z,0.0264,30.02406094078484,3300,0.029305908
2025-11-01T23:51:27Z,0.010384,30.050204034474685,1298,0.032437337
2025-11-01T23:51:27Z,0.008872,30.06967116619494,1109,0.032609781
2025-11-01T23:51:27Z,0.037504,27.751019627963167,4688,0.036034712
2025-11-01T23:51:27Z,0.086016,25.74975729244392,10752,0.041635923
2025-11-01T23:51:27Z,0.018688,25.447303152068375,2336,0.04022005
2025-11-01T23:51:27Z,0.015696,28.520271149918294,1962,0.022360436
2025-11-01T23:51:27Z,0.008432,29.354658843266517,1054,0.030079593
